id,name,latitude,longitude,route_ids,route_names,first_arrival,last_departure,service_ids
207,Trilokpuri Sanjay Lake,28.613506,77.308678,"11,29","P_MS,P_MS_R",06:38:51,24:27:44,weekday
208,East Vinod Nagar - Mayur Vihar-II,28.620052,77.305588,"11,29","P_MS,P_MS_R",06:36:18,24:30:17,weekday
209,Mandawali - West Vinod Nagar,28.624861,77.304146,"11,29","P_MS,P_MS_R",06:33:48,24:32:47,weekday
210,IP Extension,28.631599,77.310898,"11,29","P_MS,P_MS_R",06:30:45,24:35:50,weekday
211,Karkarduma Court,28.649473,77.295341,"11,29","P_MS,P_MS_R",06:21:12,24:45:23,weekday
212,Krishna Nagar,28.65782,77.290306,"11,29","P_MS,P_MS_R",06:18:55,24:47:40,weekday
213,East Azad Nagar,28.665043,77.284599,"11,29","P_MS,P_MS_R",06:16:47,24:49:48,weekday
214,Jafrabad,28.682943,77.27507,"11,29","P_MS,P_MS_R",06:10:20,24:56:15,weekday
215,Maujpur - Babarpur,28.692057,77.280922,"11,29","P_MS,P_MS_R",06:07:30,24:59:05,weekday
216,Gokulpuri,28.703009,77.286301,"11,29","P_MS,P_MS_R",06:05:00,25:01:35,weekday
217,Johri Enclave,28.713297,77.290154,"11,29","P_MS,P_MS_R",06:02:16,25:04:19,weekday
218,Shiv Vihar,28.721863,77.289635,"11,29","P_MS,P_MS_R",06:00:00,25:06:35,weekday
219,Sant Surdas (Sihi),28.354666,77.316261,"10,28","V_KR,V_KR_R",05:46:20,24:46:45,weekday
220,Raja Nahar Singh,28.339899,77.331657,"10,28","V_KR,V_KR_R",05:40:00,24:53:05,weekday
221,Vinobapuri,28.566179,77.249367,"11,29","P_MS,P_MS_R",06:55:09,24:11:26,weekday
222,Ashram,28.576065,77.25753,"11,29","P_MS,P_MS_R",06:51:49,24:14:46,weekday
223,Sarai Kale Khan - Nizamuddin,28.5889,77.253189,"11,29","P_MS,P_MS_R",06:48:35,24:18:00,weekday
224,Mayur Vihar Pocket 1,28.606598,77.296326,"11,29","P_MS,P_MS_R",06:41:20,24:25:15,weekday
225,Shaheed Sthal (New Bus Adda),28.670177,77.416031,"1,19","R_RS,R_RS_R",06:34:17,24:12:31,"saturday,weekday"
226,Hindon River,28.673508,77.40654,"1,19","R_RS,R_RS_R",06:32:04,24:10:18,"saturday,weekday"
227,Arthala,28.6772,77.391876,"1,19","R_RS,R_RS_R",06:29:11,24:07:25,"saturday,weekday"
228,Mohan Nagar,28.67856,77.384209,"1,19","R_RS,R_RS_R",06:27:26,24:05:40,"saturday,weekday"
229,Shyam Park,28.678217,77.370911,"1,19","R_RS,R_RS_R",06:24:50,24:03:04,"saturday,weekday"
230,Major Mohit Sharma Rajender Nagar,28.678095,77.359528,"1,19","R_RS,R_RS_R",06:22:28,24:00:42,"saturday,weekday"
231,Raj Bagh,28.677122,77.346466,"1,19","R_RS,R_RS_R",06:20:08,23:58:22,"saturday,weekday"
232,Shaheed Nagar,28.676615,77.333809,"1,19","R_RS,R_RS_R",06:17:38,23:55:52,"saturday,weekday"
233,Noida Sec-34,28.580229,77.363518,"23,5","B_DN,B_DN_R",05:57:04,24:31:46,weekday
234,Noida Sec-52,28.586849,77.372749,"23,5","B_DN,B_DN_R",05:54:42,24:34:08,weekday
235,Noida Sec-61,28.597677,77.372368,"23,5","B_DN,B_DN_R",05:52:05,24:36:45,weekday
236,Noida Sec-59,28.609089,77.372955,"23,5","B_DN,B_DN_R",05:49:53,24:38:57,weekday
237,Noida Sec-62,28.616991,77.373611,"23,5","B_DN,B_DN_R",05:47:30,24:41:20,weekday
238,Noida Electronic City,28.628685,77.375229,"23,5","B_DN,B_DN_R",05:45:00,24:43:50,weekday
239,Nangli,28.61722,77.010345,"13,31","G_DD,G_DD_R",06:01:44,23:02:04,weekday
240,Najafgarh,28.613316,76.986259,"13,31","G_DD,G_DD_R",05:57:20,22:57:40,weekday
241,Dhansa Bus Stand,28.611858,76.975426,"13,31","G_DD,G_DD_R",05:55:00,22:57:40,weekday
500,Noida Sector 51,28.585548,77.375374,"16,34","A_NN,A_NN_R",06:00:00,22:11:30,weekday
501,Noida Sector 50,28.574547,77.378357,"16,34","A_NN,A_NN_R",06:02:20,22:09:10,weekday
502,Noida Sector 76,28.565445,77.37973,"16,34","A_NN,A_NN_R",06:04:40,22:06:50,weekday
503,Noida Sector 101,28.556065,77.385056,"16,34","A_NN,A_NN_R",06:07:00,22:04:30,weekday
504,Noida Sector 81,28.549259,77.390099,"16,34","A_NN,A_NN_R",06:09:20,22:02:10,weekday
505,NSEZ,28.532248,77.394951,"16,34","A_NN,A_NN_R",06:07:00,22:04:30,weekday
506,Noida Sector 83,28.522284,77.396477,"16,34","A_NN,A_NN_R",06:04:40,22:06:50,weekday
507,Noida Sector 137,28.510817,77.403625,"16,34","A_NN,A_NN_R",06:02:20,22:09:10,weekday
508,Noida Sector 142,28.498999,77.412567,"16,17,34,35","A_ND,A_ND_R,A_NN,A_NN_R",06:00:00,22:24:35,weekday
509,Noida Sector 143,28.494246,77.422318,"17,35","A_ND,A_ND_R",06:02:20,22:22:15,weekday
510,Noida Sector 144,28.486376,77.432968,"17,35","A_ND,A_ND_R",06:04:40,22:19:55,weekday
511,Noida Sector 145,28.47913,77.442307,"17,35","A_ND,A_ND_R",06:07:00,22:17:35,weekday
512,Noida Sector 146,28.468822,77.455101,"17,35","A_ND,A_ND_R",06:09:20,22:15:15,weekday
513,Noida Sector 147,28.4594,77.465965,"17,35","A_ND,A_ND_R",06:11:40,22:12:55,weekday
514,Noida Sector 148,28.448021,77.476692,"17,35","A_ND,A_ND_R",06:14:00,22:10:35,weekday
515,Knowledge Park,28.456865,77.500298,"17,35","A_ND,A_ND_R",06:11:40,22:12:55,weekday
516,Pari Chowk,28.463331,77.508308,"17,35","A_ND,A_ND_R",06:09:20,22:15:15,weekday
517,Alpha 1,28.470879,77.512718,"17,35","A_ND,A_ND_R",06:07:00,22:17:35,weekday
518,Delta 1,28.478374,77.525581,"17,35","A_ND,A_ND_R",06:04:40,22:19:55,weekday
519,GNIDA Office,28.484531,77.536621,"17,35","A_ND,A_ND_R",06:02:20,22:22:15,weekday
520,Depot Station,28.488651,77.544075,"17,35","A_ND,A_ND_R",06:00:00,22:24:35,weekday
